Fecha,Tipo de Consulta,Segmento de Cliente,Canal de Comunicacion,Empleado Responsable,Ubicacion,Estado del Ticket,Nivel de Satisfaccion,Numero de Consultas,Tiempo de Resolucion (minutos),Numero de Seguimientos,Numero de Tickets Abiertos,Numero de Tickets Cerrados,Porcentaje de Resolucion al Primer Contacto,Numero de Escalaciones
1/1/2024,Consulta de Facturacion,Empresa,Chat en Linea,EMP0019,Oficina Principal,Abierto,Muy Satisfecho,19,7,4,8,0,95.98,2
2/1/2024,Consulta de Facturacion,Individual,Formulario Web,EMP0009,Sucursal A,Pendiente,Muy Satisfecho,6,78,4,1,5,67.48,2
3/1/2024,Solicitud de Devolucion,Mayorista,Correo Electronico,EMP0003,Oficina en Linea,Pendiente,Muy Satisfecho,9,97,0,7,0,99.40,0
4/1/2024,Consulta de Facturacion,Mayorista,Correo Electronico,EMP0013,Oficina en Linea,Pendiente,Muy Satisfecho,8,75,4,6,5,77.25,1
5/1/2024,Solicitud de Devolucion,Empresa,Telefono,EMP0004,Oficina en Linea,Pendiente,Insatisfecho,1,54,2,5,9,92.69,1
6/1/2024,Reclamacion de Envio,Empresa,Chat en Linea,EMP0003,Oficina en Linea,Cerrado,Muy Satisfecho,7,40,4,5,5,66.34,1
7/1/2024,Solicitud de Devolucion,Individual,Telefono,EMP0005,Oficina en Linea,Cerrado,Neutral,12,56,0,2,0,62.05,0
8/1/2024,Consulta de Garantia,Empresa,Redes Sociales,EMP0020,Sucursal B,Abierto,Neutral,7,48,3,4,4,76.29,2
9/1/2024,Solicitud de Devolucion,Mayorista,Formulario Web,EMP0009,Oficina en Linea,En Progreso,Insatisfecho,17,90,1,1,3,65.42,0
10/1/2024,Informacion de Promociones,Individual,Formulario Web,EMP0018,Oficina en Linea,Abierto,Muy Satisfecho,18,99,2,4,5,77.87,2
11/1/2024,Reclamacion de Envio,Mayorista,Correo Electronico,EMP0010,Sucursal B,En Progreso,Insatisfecho,16,107,1,2,7,58.90,0
12/1/2024,Soporte Tecnico,Mayorista,Telefono,EMP0019,Sucursal A,En Progreso,Insatisfecho,4,18,3,8,0,95.09,2
