Fecha;Tipo de Empleado;Departamento;Razon de Salida;Estado de Dedicacion;Nivel de Educacion;Ubicacion;Nivel de Antiguedad;Edad;Años en la Empresa;Salario Anual (USD);Horas Trabajadas por Semana;Tasa de Rotacion (%);Evaluacion de Desempeño (0-5);Tiempo de Capacitacion (horas)
1/1/2024;Tester;Soporte;Cambio de Sector;Alto;Master;Remoto;Director;33;6;28292;37;2,3279;2,36;188
2/1/2024;Analista de Datos;Consultoria;Renuncia;Bajo;Master;Oficina Principal;Lider;29;4;110499;48;9,9067;1,42;11
3/1/2024;Desarrollador;Soporte;Renuncia;Bajo;Licenciatura;Remoto;Senior;53;8;30042;41;7,7815;3,70;165
4/1/2024;Product Owner;Desarrollo;Renuncia;Alto;Doctorado;Sucursal 1;Senior;47;5;115372;36;4,0282;3,85;174
5/1/2024;Gerente de Proyecto;Recursos Humanos;Cambio de Sector;Alto;Otros;Remoto;Senior;45;2;49183;44;7,0434;3,30;66
6/1/2024;Desarrollador;Recursos Humanos;Condiciones Laborales;Bajo;Licenciatura;Remoto;Lider;59;5;82081;46;6,1636;1,94;89
7/1/2024;Tester;Recursos Humanos;Jubilacion;Bajo;Master;Remoto;Director;65;8;41581;41;8,3650;3,38;159
8/1/2024;Ingeniero de Software;Operaciones;Condiciones Laborales;Bajo;Master;Sucursal 1;Senior;34;7;116228;47;1,1992;4,41;48
9/1/2024;Analista de Datos;Ventas;Falta de Oportunidades;Alto;Tecnico;Oficina Principal;Junior;29;2;59110;39;9,8704;2,60;62
10/1/2024;Ingeniero de Software;Desarrollo;Cambio de Sector;Promedio;Licenciatura;Remoto;Senior;29;6;63253;44;9,4893;1,80;169
11/1/2024;Gerente de Proyecto;Desarrollo;Falta de Oportunidades;Promedio;Master;Sucursal 1;Junior;29;7;114485;39;3,9171;4,51;158
12/1/2024;UI/UX Designer;Operaciones;Despido;Promedio;Tecnico;Remoto;Director;65;9;74027;41;2,0686;1,65;134
13/1/2024;Tester;Desarrollo;Despido;Promedio;Doctorado;Oficina Principal;Senior;33;1;51154;42;1,8161;1,22;65
14/1/2024;Analista de Datos;Consultoria;Cambio de Sector;Alto;Tecnico;Remoto;Semi Senior;38;9;113474;43;6,8865;2,77;178
15/1/2024;Tester;Soporte;Condiciones Laborales;Alto;Tecnico;Sucursal 1;Senior;57;2;80814;40;1,5551;4,45;151
16/1/2024;Tester;Consultoria;Falta de Oportunidades;Bajo;Doctorado;Sucursal 1;Semi Senior;47;4;37893;46;6,7166;1,80;142
17/1/2024;Gerente de Proyecto;Recursos Humanos;Falta de Oportunidades;Bajo;Otros;Sucursal 1;Lider;25;5;77435;41;5,0274;3,55;153
18/1/2024;Desarrollador;Recursos Humanos;Falta de Oportunidades;Promedio;Tecnico;Oficina Principal;Semi Senior;32;9;66797;37;3,3197;3,85;110
19/1/2024;Gerente de Proyecto;Operaciones;Cambio de Sector;Bajo;Doctorado;Sucursal 1;Director;52;1;90025;42;6,2088;3,34;10
20/1/2024;UI/UX Designer;Ventas;Despido;Promedio;Master;Remoto;Lider;45;6;72356;39;2,5092;1,57;12
21/1/2024;Gerente de Proyecto;Recursos Humanos;Cambio de Sector;Alto;Tecnico;Remoto;Director;57;4;104322;47;9,6086;3,65;188
22/1/2024;Tester;Ventas;Jubilacion;Alto;Doctorado;Sucursal 1;Semi Senior;65;5;59592;41;2,6794;4,50;123
23/1/2024;Ingeniero de Software;Recursos Humanos;Cambio de Sector;Promedio;Doctorado;Oficina Principal;Senior;55;4;100480;40;6,6468;4,80;24
24/1/2024;Tester;Desarrollo;Renuncia;Promedio;Doctorado;Sucursal 1;Lider;50;7;49795;38;4,5438;2,02;127
