Fecha;Producto;Metodo de pago;Tipo de Cliente;Region;Metodo de Envio;Estado del Pedido;Marca;Precio Total (ARS);Cantidad de Productos;Descuento Aplicado (%);Cantidad de Pedidos;Monto Pagado (ARS);Tiempo de Envio;Valor del Envio (ARS)
1/12/2024;Laptop;Transferencia Bancaria;Recurrente;Cordoba;Envio Estandar;Cancelado;Samsung;449598;2;2,84;5;4.368.086;5;4.829
2/12/2024;Accesorios;Transferencia Bancaria;Recurrente;Tucuman;Envio Express;Pendiente;LG;510109;3;1,39;5;7.544.930;5;9.127
3/12/2024;Reloj Inteligente;Transferencia Bancaria;Recurrente;Neuquen;Envio Express;Pendiente;Lenovo;659067;3;8,84;13;23.431.104;5;2.001
4/12/2024;Laptop;Tarjeta de Credito;Recurrente;CABA;Envio Express;Enviado;Lenovo;909239;2;9,97;1;1.637.236;5;4.124
5/12/2024;Smartphone;Mercado Pago;Recurrente;Neuquen;Envio Estandar;Cancelado;Xiaomi;690256;1;3,36;14;9.339.302;4;8.069
6/12/2024;Laptop;Mercado Pago;Nuevo;Neuquen;Envio Express;Enviado;Huawei;468702;4;7,98;13;22.427.479;4;3.243
7/12/2024;Reloj Inteligente;Tarjeta de Credito;Nuevo;Cordoba;Envio Estandar;Cancelado;Huawei;984371;1;11,06;4;3.501.897;3;7.127
8/12/2024;Laptop;Transferencia Bancaria;Nuevo;Neuquen;Recogida en Tienda;Cancelado;Samsung;230856;1;4,63;2;440.322;3;7.599
9/12/2024;Smartphone;Transferencia Bancaria;Recurrente;CABA;Recogida en Tienda;Enviado;LG;977211;1;3,79;12;11.282.170;1;1.857
10/12/2024;Reloj Inteligente;Pago Contra Entrega;Recurrente;Santa Fe;Recogida en Tienda;Enviado;LG;683540;1;7,71;10;6.308.571;5;8.574
11/12/2024;Camara Digital;Tarjeta de Credito;Recurrente;Neuquen;Envio Express;Cancelado;Lenovo;787191;4;9,94;8;22.686.701;4;3.589
12/12/2024;Smartphone;PayPal;Nuevo;CABA;Recogida en Tienda;Cancelado;LG;868022;2;4,07;19;31.641.327;4;2.501
13/12/2024;Auriculares;Transferencia Bancaria;Nuevo;Neuquen;Recogida en Tienda;Enviado;Lenovo;859736;3;14,73;10;21.991.666;1;9.085
14/12/2024;Laptop;PayPal;Nuevo;CABA;Envio Express;Pendiente;Huawei;270129;3;12,97;10;7.052.499;3;3.858
15/12/2024;Camara Digital;Pago Contra Entrega;Recurrente;Neuquen;Recogida en Tienda;Pendiente;Samsung;885581;3;7,95;16;39.129.789;2;7.729
16/12/2024;Reloj Inteligente;PayPal;Nuevo;CABA;Recogida en Tienda;Cancelado;LG;966461;3;3,99;10;27.837.939;1;1.879
17/12/2024;Camara Digital;Transferencia Bancaria;Nuevo;Buenos Aires;Envio Estandar;Pendiente;LG;613770;4;2,91;1;2.383.658;3;5.310
18/12/2024;Reloj Inteligente;PayPal;Nuevo;Tucuman;Envio Estandar;Pendiente;LG;645871;1;9,52;2;1.168.705;3;8.398
19/12/2024;Smartphone;PayPal;Nuevo;Cordoba;Envio Estandar;Entregado;LG;835726;1;11,43;5;3.701.076;6;5.825
20/12/2024;Accesorios;Transferencia Bancaria;Nuevo;Neuquen;Envio Express;Enviado;Sony;506128;4;6,2;14;26.586.898;5;2.869
21/12/2024;Laptop;Tarjeta de Credito;Recurrente;Mendoza;Envio Estandar;Enviado;Lenovo;478610;3;9,54;6;7.793.391;1;8.807
22/12/2024;Camara Digital;Tarjeta de Credito;Nuevo;Santa Fe;Envio Express;Pendiente;Sony;157520;3;10,2;12;5.092.518;5;9.367
23/12/2024;Camara Digital;Mercado Pago;Recurrente;Cordoba;Envio Estandar;Pendiente;Samsung;875419;2;1,8;3;5.157.726;2;4.647
24/12/2024;Auriculares;Mercado Pago;Recurrente;Mendoza;Recogida en Tienda;Entregado;Sony;775082;2;8,52;1;1.418.166;2;3.204
25/12/2024;Auriculares;Mercado Pago;Nuevo;Mendoza;Envio Express;Entregado;Xiaomi;628146;3;11,13;4;6.698.752;2;2.881
26/12/2024;Tablet;Transferencia Bancaria;Nuevo;Buenos Aires;Envio Express;Entregado;Huawei;103543;2;10,43;6;1.112.925;5;7.820
27/12/2024;Laptop;Pago Contra Entrega;Nuevo;CABA;Envio Express;Cancelado;Huawei;895118;1;10,53;10;8.008.223;5;7.487
28/12/2024;Reloj Inteligente;Tarjeta de Credito;Nuevo;Tucuman;Envio Express;Cancelado;LG;851591;4;2,93;19;62.825.388;2;6.730
29/12/2024;Camara Digital;Pago Contra Entrega;Nuevo;Mendoza;Envio Estandar;Pendiente;LG;393268;2;10,76;1;701.900;2;6.959
30/12/2024;Camara Digital;Pago Contra Entrega;Recurrente;Cordoba;Envio Express;Enviado;Xiaomi;249940;3;9,07;1;681.778;4;7.285
31/12/2024;Smartphone;Mercado Pago;Recurrente;Cordoba;Recogida en Tienda;Entregado;Lenovo;565292;2;1,17;13;14.525.286;2;8.154
1/12/2024;Tablet;Tarjeta de Credito;Nuevo;Tucuman;Recogida en Tienda;Entregado;Xiaomi;104909;3;7,33;2;583.345;2;6.524
2/12/2024;Accesorios;Tarjeta de Credito;Recurrente;CABA;Envio Express;Cancelado;Apple;645838;1;9,41;8;4.680.299;5;4.618
3/12/2024;Auriculares;Tarjeta de Credito;Recurrente;CABA;Recogida en Tienda;Enviado;Samsung;311710;1;1,67;8;2.451.936;1;4.093
4/12/2024;Auriculares;Transferencia Bancaria;Recurrente;Tucuman;Recogida en Tienda;Entregado;Sony;988354;1;7,99;2;1.818.802;4;9.145
5/12/2024;Laptop;Mercado Pago;Recurrente;Cordoba;Recogida en Tienda;Pendiente;Apple;956283;2;3,48;13;23.997.786;2;2.269
6/12/2024;Accesorios;Tarjeta de Credito;Nuevo;Santa Fe;Recogida en Tienda;Enviado;Apple;668408;4;14,68;12;27.374.364;1;8.558
7/12/2024;Laptop;Pago Contra Entrega;Recurrente;Mendoza;Recogida en Tienda;Cancelado;Huawei;191338;3;2,51;15;8.394.386;4;2.831
8/12/2024;Auriculares;Transferencia Bancaria;Recurrente;Santa Fe;Recogida en Tienda;Entregado;Huawei;757302;3;6,2;13;27.703.853;4;4.580
9/12/2024;Accesorios;Mercado Pago;Recurrente;Neuquen;Envio Estandar;Cancelado;Sony;424590;4;8,37;14;21.788.055;2;4.105
10/12/2024;Tablet;Transferencia Bancaria;Nuevo;CABA;Envio Estandar;Pendiente;Samsung;529343;3;2,3;14;21.720.632;2;3.857
11/12/2024;Tablet;Mercado Pago;Recurrente;Tucuman;Envio Express;Pendiente;Samsung;548983;2;1,07;7;7.603.820;1;6.309
12/12/2024;Tablet;Mercado Pago;Nuevo;Mendoza;Envio Express;Entregado;Apple;483043;3;6,22;3;4.077.019;2;4.520
13/12/2024;Reloj Inteligente;PayPal;Nuevo;Tucuman;Recogida en Tienda;Cancelado;Huawei;415125;1;2,49;13;5.262.223;6;1.160
14/12/2024;Reloj Inteligente;Mercado Pago;Recurrente;Santa Fe;Recogida en Tienda;Enviado;LG;732435;3;7,56;5;10.155.619;3;2.763
15/12/2024;Reloj Inteligente;Tarjeta de Credito;Nuevo;Mendoza;Recogida en Tienda;Entregado;Lenovo;607561;2;12,81;11;11.654.601;6;8.875
16/12/2024;Camara Digital;PayPal;Nuevo;CABA;Envio Estandar;Pendiente;Samsung;229603;1;12,1;3;605.438;5;9.309
17/12/2024;Tablet;Pago Contra Entrega;Nuevo;Tucuman;Envio Estandar;Entregado;Lenovo;984710;1;13,88;19;16.112.726;5;7.682
18/12/2024;Accesorios;Transferencia Bancaria;Nuevo;Neuquen;Envio Express;Entregado;LG;563339;3;11,12;15;22.530.178;2;8.856
19/12/2024;Tablet;Transferencia Bancaria;Nuevo;Tucuman;Envio Estandar;Cancelado;Huawei;561875;4;2,64;19;41.575.630;5;1.125
20/12/2024;Auriculares;Pago Contra Entrega;Nuevo;Tucuman;Envio Estandar;Entregado;Apple;382514;2;12,18;11;7.390.132;2;2.564
21/12/2024;Auriculares;Transferencia Bancaria;Nuevo;Neuquen;Envio Express;Cancelado;Sony;446772;2;14,57;14;10.686.465;4;7.343
22/12/2024;Accesorios;Mercado Pago;Recurrente;Cordoba;Envio Estandar;Entregado;LG;678924;2;2,4;14;18.554.183;4;1.038
23/12/2024;Accesorios;Pago Contra Entrega;Nuevo;Buenos Aires;Envio Estandar;Enviado;Lenovo;427367;1;10,4;2;765.818;6;6.560
24/12/2024;Auriculares;Tarjeta de Credito;Nuevo;Neuquen;Envio Express;Pendiente;Lenovo;432890;1;10,81;15;5.791.203;1;8.925
25/12/2024;Smartphone;Transferencia Bancaria;Recurrente;CABA;Envio Express;Entregado;Sony;345079;3;12,94;3;2.703.736;2;8.915
26/12/2024;Auriculares;PayPal;Nuevo;Mendoza;Envio Estandar;Cancelado;LG;598605;1;8,84;4;2.182.815;5;5.743
27/12/2024;Reloj Inteligente;Pago Contra Entrega;Recurrente;Mendoza;Envio Estandar;Cancelado;Sony;416056;2;3,6;8;6.417.382;5;6.962
28/12/2024;Smartphone;Mercado Pago;Nuevo;Cordoba;Recogida en Tienda;Cancelado;Apple;101164;2;10,4;19;3.444.298;1;6.568
29/12/2024;Smartphone;Transferencia Bancaria;Nuevo;Cordoba;Envio Estandar;Pendiente;Sony;862648;3;4,47;18;44.502.919;4;9.625
30/12/2024;Laptop;Mercado Pago;Recurrente;Buenos Aires;Envio Estandar;Entregado;Apple;753990;1;1,46;4;2.971.905;4;2.539
31/12/2024;Smartphone;Pago Contra Entrega;Recurrente;Cordoba;Envio Express;Enviado;Xiaomi;397075;2;14,14;19;12.955.184;1;4.790
1/12/2024;Accesorios;Mercado Pago;Nuevo;Cordoba;Envio Express;Entregado;Sony;934866;3;11,6;10;24.793.675;2;2.431
2/12/2024;Auriculares;PayPal;Nuevo;Santa Fe;Envio Estandar;Pendiente;Xiaomi;583844;3;4,67;15;25.045.247;6;9.131
3/12/2024;Accesorios;Pago Contra Entrega;Recurrente;Mendoza;Envio Express;Entregado;Apple;218237;1;7,36;7;1.415.186;2;8.963
4/12/2024;Camara Digital;Tarjeta de Credito;Recurrente;Neuquen;Recogida en Tienda;Enviado;LG;350898;2;13;17;10.379.587;1;3.418
