Fecha,Producto,Metodo de pago,Tipo de Cliente,Region,Metodo de Envio,Estado del Pedido,Marca,Precio Total (ARS),Cantidad de Productos,Descuento Aplicado (%),Cantidad de Pedidos,Monto Pagado (ARS),Tiempo de Envio,Valor del Envio (ARS)
1/12/2024,Laptop,Transferencia Bancaria,Recurrente,Cordoba,Envio Estandar,Cancelado,Samsung,449598,2,5,5,4368086,5,4829
1/12/2024,Tablet,Tarjeta de Credito,Nuevo,Tucuman,Recogida en Tienda,Entregado,Xiaomi,104909,3,1,2,583345,2,6524
1/12/2024,Accesorios,Mercado Pago,Nuevo,Cordoba,Envio Express,Entregado,Sony,934866,3,9,10,24793675,2,2431
1/12/2024,Camara Digital,PayPal,Nuevo,Neuquen,Recogida en Tienda,Entregado,Sony,165242,1,8,8,1170342,2,8284
1/12/2024,Smartphone,Tarjeta de Credito,Recurrente,Neuquen,Recogida en Tienda,Entregado,Apple,209309,2,5,12,4644290,3,7572
1/12/2024,Camara Digital,Transferencia Bancaria,Nuevo,Tucuman,Envio Estandar,Enviado,Samsung,255830,4,13,16,15504100,4,7730
1/12/2024,Smartphone,Transferencia Bancaria,Nuevo,Neuquen,Recogida en Tienda,Cancelado,Xiaomi,857794,4,3,15,46054676,4,6093
1/12/2024,Auriculares,Tarjeta de Credito,Nuevo,Neuquen,Envio Estandar,Cancelado,Xiaomi,419003,3,9,3,3351771,1,1926
1/12/2024,Laptop,Pago Contra Entrega,Nuevo,Neuquen,Recogida en Tienda,Pendiente,Xiaomi,202700,3,12,14,7492864,2,3217
1/12/2024,Smartphone,Pago Contra Entrega,Nuevo,Neuquen,Envio Estandar,Entregado,Xiaomi,879578,4,2,14,45406117,1,7253
1/12/2024,Accesorios,Pago Contra Entrega,Recurrente,Tucuman,Envio Estandar,Pendiente,Samsung,571893,2,15,9,10128585,6,1986
1/12/2024,Camara Digital,PayPal,Recurrente,CABA,Recogida en Tienda,Pendiente,Samsung,143133,1,4,12,1596424,3,9029
1/12/2024,Smartphone,Transferencia Bancaria,Nuevo,Mendoza,Recogida en Tienda,Cancelado,LG,944851,1,11,17,14918052,3,3436
1/12/2024,Reloj Inteligente,Pago Contra Entrega,Nuevo,Mendoza,Recogida en Tienda,Enviado,Huawei,300673,1,14,11,3029110,2,6877
1/12/2024,Smartphone,Tarjeta de Credito,Nuevo,CABA,Envio Estandar,Entregado,Xiaomi,342382,3,12,16,14301715,5,5056
1/12/2024,Accesorios,Pago Contra Entrega,Recurrente,Neuquen,Envio Estandar,Cancelado,Sony,541099,1,6,6,2876703,1,5606
1/12/2024,Smartphone,PayPal,Nuevo,CABA,Envio Express,Entregado,Xiaomi,903926,2,5,18,32069393,4,4887
1/12/2024,Tablet,Mercado Pago,Nuevo,Santa Fe,,Enviado,Apple,838002,1,7,10,8118741,3,6101
1/12/2024,Laptop,Transferencia Bancaria,Nuevo,Neuquen,Envio Estandar,Cancelado,Sony,863277,3,6,19,44779522,5,8717
1/12/2024,Auriculares,Mercado Pago,Nuevo,Cordoba,Envio Express,Cancelado,Apple,230116,4,12,6,4993581,6,9202
1/12/2024,Auriculares,PayPal,Recurrente,Mendoza,Envio Estandar,Cancelado,LG,197168,2,12,2,724438,3,9914
1/12/2024,Laptop,,Nuevo,Neuquen,Envio Estandar,Cancelado,Sony,461878,4,15,18,32765948,1,4824
1/12/2024,Camara Digital,PayPal,Recurrente,Santa Fe,Recogida en Tienda,Cancelado,Huawei,397355,2,7,6,4624725,5,1408
1/12/2024,Laptop,PayPal,Nuevo,Tucuman,Envio Express,Entregado,LG,454164,2,6,17,13540480,2,6149
1/12/2024,Camara Digital,Transferencia Bancaria,Recurrente,Mendoza,Envio Express,Entregado,Huawei,565150,2,12,11,12295683,3,9768
1/12/2024,Auriculares,Mercado Pago,Nuevo,Mendoza,Envio Estandar,Cancelado,Lenovo,865707,4,,13,43414328,6,9903
1/12/2024,Laptop,Tarjeta de Credito,Recurrente,Cordoba,Envio Estandar,Entregado,Sony,259610,3,7,7,4955291,6,4929
1/12/2024,Camara Digital,Transferencia Bancaria,Recurrente,Cordoba,Envio Express,Cancelado,Samsung,303956,2,6,5,2714195,2,8394
1/12/2024,Smartphone,Transferencia Bancaria,Nuevo,CABA,Recogida en Tienda,Entregado,LG,752889,4,14,10,29627329,2,3019
1/12/2024,Accesorios,Mercado Pago,Recurrente,Neuquen,Recogida en Tienda,Pendiente,Sony,476604,1,7,8,3390544,3,1290
1/12/2024,Auriculares,Mercado Pago,Recurrente,Santa Fe,Envio Estandar,Pendiente,Huawei,969671,4,3,18,59785732,4,4365
1/12/2024,Reloj Inteligente,Tarjeta de Credito,Nuevo,Tucuman,Recogida en Tienda,Pendiente,Lenovo,266395,3,11,2,1382405,1,3070
1/12/2024,Auriculares,Tarjeta de Credito,Recurrente,Neuquen,Recogida en Tienda,Entregado,Apple,495120,2,13,16,14585289,4,5748
1/12/2024,Camara Digital,PayPal,Nuevo,Cordoba,Envio Express,Cancelado,Huawei,100836,4,4,20,7299348,1,4521
1/12/2024,Accesorios,PayPal,Nuevo,Corrientes,Envio Express,Pendiente,Lenovo,197611,3,15,18,10562069,2,6207
1/12/2024,Reloj Inteligente,PayPal,Recurrente,Rio Negro,Envio Estandar,Cancelado,Lenovo,141497,2,15,20,5110237,6,5865
1/12/2024,Reloj Inteligente,Tarjeta de Credito,Nuevo,Jujuy,Envio Estandar,Cancelado,Huawei,635723,1,14,2,1138240,3,3510
1/12/2024,Accesorios,Mercado Pago,Recurrente,Buenos Aires,Envio Estandar,Cancelado,Xiaomi,576967,1,11,17,9600862,3,8577
1/12/2024,Laptop,Pago Contra Entrega,Nuevo,Catamarca,Envio Express,Cancelado,Apple,997189,2,14,12,20904041,5,1740
